route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
30,250728-MULTI-Weekday-01,24609825-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162429,300083,1,1
30,250728-MULTI-Weekday-01,24609826-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162434,300083,1,1
51,250728-MULTI-Weekday-01,24609827-250728-MULTI-Weekday-01,"51 HEREFORD EAST",0,1162176,510036,1,1
9,250728-MULTI-Weekday-01,24609828-250728-MULTI-Weekday-01,"9 VODDEN EAST",0,1162393,90032,1,1
60,250728-MULTI-Weekday-01,24609829-250728-MULTI-Weekday-01,"60 MISSISSAUGA ROAD SOUTH",1,1162295,600009,1,1
30,250728-MULTI-Weekday-01,24609830-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162435,300082,1,1
30,250728-MULTI-Weekday-01,24609831-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162437,300082,1,1
51,250728-MULTI-Weekday-01,24609832-250728-MULTI-Weekday-01,"51 HEREFORD WEST",1,1162176,510037,1,1
23,250728-MULTI-Weekday-01,24609833-250728-MULTI-Weekday-01,"23 SANDALWOOD EAST",0,1162395,230129,1,1
23,250728-MULTI-Weekday-01,24609834-250728-MULTI-Weekday-01,"23 SANDALWOOD WEST",1,1162398,230127,1,1
60,250728-MULTI-Weekday-01,24609835-250728-MULTI-Weekday-01,"60 MISSISSAUGA ROAD NORTH",0,1162295,600006,1,1
18,250728-MULTI-Weekday-01,24609836-250728-MULTI-Weekday-01,"18 DIXIE NORTH",0,1162495,180212,1,1
18,250728-MULTI-Weekday-01,24609837-250728-MULTI-Weekday-01,"18 DIXIE NORTH",0,1162503,180212,1,1
18,250728-MULTI-Weekday-01,24609838-250728-MULTI-Weekday-01,"18 DIXIE NORTH",0,1162505,180212,1,1
18,250728-MULTI-Weekday-01,24609839-250728-MULTI-Weekday-01,"18 DIXIE NORTH",0,1162228,180212,1,1
18,250728-MULTI-Weekday-01,24609840-250728-MULTI-Weekday-01,"18 DIXIE NORTH",0,1162230,180212,1,1
18,250728-MULTI-Weekday-01,24609841-250728-MULTI-Weekday-01,"18 DIXIE NORTH",0,1162493,180209,1,1
18,250728-MULTI-Weekday-01,24609842-250728-MULTI-Weekday-01,"18 DIXIE NORTH",0,1162498,180209,1,1
18,250728-MULTI-Weekday-01,24609843-250728-MULTI-Weekday-01,"18 DIXIE SOUTH",1,1162491,180227,1,1
18,250728-MULTI-Weekday-01,24609844-250728-MULTI-Weekday-01,"18 DIXIE SOUTH",1,1162493,180203,1,1
18,250728-MULTI-Weekday-01,24609845-250728-MULTI-Weekday-01,"18 DIXIE SOUTH",1,1162498,180203,1,1
18,250728-MULTI-Weekday-01,24609846-250728-MULTI-Weekday-01,"18 DIXIE SOUTH",1,1162500,180203,1,1
